OBJECT_NAME,a [km],e [rad],I [deg],L [deg],long.peri.  [deg],long.node.  [deg],OBJECT_ID,EPOCH,MEAN_MOTION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-16 R/B,7216.872451,0.0005141,71.0118,556.8205,300.1477,196.6509,1998-045B,2024-10-04T21:59:55.603392,14.16051266,196.6509,103.4968,256.6728,0,U,25407,999,35337,1.29E-04,2.07E-06,0
ISS (ZARYA),6797.076259,0.0009147,51.6363,489.3082,168.9342,129.1425,1998-067A,2024-10-05T11:15:58.866048,15.49242162,129.1425,39.7917,320.374,0,U,25544,999,47565,5.98E-04,3.29E-04,0
CZ-4B R/B,7210.097631,0.0037828,98.7398,699.9735,364.4708,322.6301,1999-025C,2024-10-05T02:53:05.565984,14.1804758,322.6301,41.8407,335.5027,0,U,25732,999,31452,3.56E-04,6.92E-06,0
OKEAN-O,7010.87796,0.0001061,98.0229,691.4564,446.8737,331.3244,1999-039A,2024-10-05T04:19:07.932288,14.78917372,331.3244,115.5493,244.5827,0,U,25860,999,35750,5.59E-04,4.07E-05,0
SL-16 R/B,7005.891374,0.0016008,98.0759,686.1205,466.1859,325.8818,1999-039B,2024-10-05T03:22:25.815648,14.80496627,325.8818,140.3041,219.9346,0,U,25861,999,35993,5.01E-04,3.79E-05,0
DELTA 2 R/B,7240.199349,0.0512742,51.7649,570.1605,471.2464,215.8054,1999-041E,2024-10-05T08:27:44.480160,14.09213306,215.8054,255.441,98.9141,0,U,25876,999,28960,8.27E-04,4.82E-05,0
HELIOS 1B,6991.784917,0.0001206,98.2247,514.0043,190.7195,153.8747,1999-064A,2024-10-04T14:59:41.845632,14.84979408,153.8747,36.8448,323.2848,0,U,25977,999,33915,6.46E-04,5.46E-05,0
TERRA,7071.128241,0.0002943,98.036,452.2286,385.2832,339.7112,1999-068A,2024-10-05T12:16:16.359744,14.6005579,339.7112,45.572,66.9454,0,U,25994,999,31926,6.62E-04,3.14E-05,0
SL-16 R/B,7218.117449,0.0018677,71.0002,472.755,369.0103,112.8505,2000-006B,2024-10-04T20:50:12.733152,14.15684916,112.8505,256.1598,103.7447,0,U,26070,999,27484,3.14E-04,5.69E-06,0
TITAN 4B R/B,6933.840475,0.0051904,67.9933,416.9995,322.4182,57.4775,2000-047B,2024-10-05T11:40:21.802944,15.03632668,57.4775,264.9407,94.5813,0,U,26474,999,31461,9.68E-04,1.36E-04,0
ENVISAT,7140.930514,0.0001303,98.2964,344.9334,326.1479,236.8082,2002-009A,2024-10-05T11:30:52.638624,14.38700222,236.8082,89.3397,18.7855,0,U,27386,999,18443,3.81E-04,1.13E-05,0
